Number,X,Y,R1,Desirability,Real,MAE,M1,M2,M3,M4
1,-3.739,-3.004,2.946,1.0,2.941740326897001,0.004259673102999351,8.393696265650789,6.205689405698612,0.2818527984604729,7.413680934596525
2,-3.119,2.841,6.672,1.0,6.655419346881999,0.016580653118000832,6.176523455796149,0.42742952635493,6.159462314195941,8.180276890179208
3,-3.54,-3.45,5.537,1.0,5.536664809999996,0.0003351900000039265,8.513172146738253,6.621917094014391,0.2915647440964014,7.301902491816773
4,3.9,-1.409,9.088,1.0,9.08819944896099,0.00019944896099133302,3.5258021782283815,8.097445584874281,7.904360631954997,0.540903873160472
5,3.788,-2.123,3.165,1.0,3.180297817776999,0.015297817776998901,4.197627067761023,8.430430890529856,7.655396070746438,0.3424047312757228
6,-3.45,3.21,16.934,1.0,16.933943060000004,5.693999999678567e-05,6.562514761888159,0.649819975070019,6.501329863958604,8.663747457076528
7,-2.932,3.487,6.15,1.0,6.134522727937,0.015477272063000314,6.115537016485143,0.37797486688932136,6.822778686136609,8.421429866715034
8,3.653,-1.189,5.072,1.0,5.072537649122,0.0005376491220001611,3.255169734437822,7.769695232118182,7.721363869161976,0.6626024449094646
9,-2.7,2.46,14.873,1.0,14.873322560000004,0.00032256000000430163,5.718531279970408,0.6791656646209375,5.843482694421196,7.6188923079408335
10,2.55,1.53,13.254,1.0,13.254359060000006,0.0003590600000062949,0.6506919393998977,5.589206204820145,7.95117664248506,3.5327100079117733
11,-4.2,-3.434,10.63,1.0,10.629321630736,0.0006783692640013328,9.020441009174663,6.711575820923131,0.44726055046247964,7.943931772113857
12,2.334,2.315,10.973,1.0,10.961604553761,0.011395446239001572,0.7367367236672812,5.203381304498067,8.288930751309241,4.346615810029683
13,4.02,-0.9,22.86,1.0,22.85990815999996,9.184000003870096e-05,3.0741502891042916,7.926511590857607,8.154942673005127,1.0434557968596465
14,-4.242,-3.312,13.636,1.0,13.635618908432008,0.0003810915679913762,8.981308813307779,6.601304265067624,0.4639073183298579,7.961756841300795
15,-3.423,-3.076,6.489,1.0,6.489167561217,0.00016756121700023385,8.18661743334816,6.237689716553717,0.4118069936268687,7.113791745616398
RESUMEN,,,,,2.941740326897001,0.004409371495469027,0.6506919393998977,0.37797486688932136,0.2818527984604729,0.3424047312757228
