Number,X,Y,R1,Desirability,Real,MAE,M1,M2,M3,M4
1,-3.652,-3.428,2.396,1.0,2.398259548671996,0.002259548671996292,8.585586060368856,6.613462784351326,0.19275372888740688,7.406490126908967
2,3.495,-1.988,0.795,1.0,0.797428107360998,0.0024281073609979664,4.018602866668962,8.11752185090992,7.388376073265356,0.16589454481688048
3,-3.667,-3.123,1.296,1.0,1.2922862889620006,0.0037137110379994454,8.40797347759851,6.313126008563427,0.19530488985173905,7.362243272264235
4,-2.763,3.265,0.821,1.0,0.8151795911860014,0.00582040881399859,5.900202877867844,0.14042791745233607,6.626353446655257,8.15028698881211
5,3.163,2.216,2.653,1.0,2.6425258900969975,0.01047410990300257,0.27060118255469623,6.037735419840787,8.856091971067148,4.0857480343261505
6,3.111,1.729,0.976,1.0,0.9751167915220025,0.0008832084779974991,0.292851498203441,6.079856906210869,8.520108215275203,3.608137746816216
7,3.6,-1.559,1.101,1.0,1.1007680913610012,0.0002319086389988012,3.609221661244984,7.938521587802101,7.577718456105372,0.2894425677055814
8,-2.983,3.057,1.322,1.0,1.3193034115220028,0.0026965884779972527,6.075651240813614,0.19276929216034372,6.389774330913416,8.196616009061302
9,-3.073,3.033,2.936,1.0,2.943267752162002,0.00726775216200215,6.16022872951971,0.28535591810929706,6.355335711038403,8.254684124786364
10,3.539,-1.6,0.818,1.0,0.8174980794409994,0.0005019205590005571,3.6401265087905945,7.913829477566471,7.50903542407412,0.25204959829366913
11,-3.979,-3.387,2.343,1.0,2.3321209718420017,0.010879028157998238,8.816246933928293,6.622884567920537,0.22542404485768613,7.717997797356515
12,-3.727,-3.328,0.317,1.0,0.3128916808969996,0.004108319103000413,8.581381765193761,6.524474308325537,0.06876772498781678,7.459297621090071
13,3.654,-1.505,1.892,1.0,1.885434935281002,0.006565064718997871,3.5654930935285796,7.950545704541292,7.642694093053836,0.3500699930013998
14,3.559,-1.48,1.602,1.0,1.5987755233610013,0.00322447663899883,3.5246107586512303,7.858868684486337,7.556259193542794,0.3688482072614696
15,-3.863,-3.204,0.88,1.0,0.8734965188169977,0.006503481183002258,8.612919655958715,6.422739991623512,0.11531261856362457,7.5694481304782055
RESUMEN,,,,,0.3128916808969996,0.004503842260399249,0.27060118255469623,0.14042791745233607,0.06876772498781678,0.16589454481688048
